"variable","statistic","baseline","recycling","difference","combined_mcse","simultaneous_z","tolerance","passed"
"log_gamma_pop","q05",-6.82632963600896,-6.75935034806111,0.0669792879478548,0.222648491761249,3.5062047266172,0.780651194187482,TRUE
"log_mu_l_pop","q05",-4.34480722126476,-3.76776382005108,0.577043401213679,0.088197133315136,3.5062047266172,0.309237205703618,FALSE
"log_sigma_v","q05",-0.882149583573597,-0.908317506163781,-0.0261679225901845,0.00781020458227952,3.5062047266172,0.0273841762222358,TRUE
"log_sigma_t","q05",-1.28666419735837,-1.28010884939212,0.00655534796624901,0.00632746767483471,3.5062047266172,0.022185397069023,TRUE
"treated_logit_location","q05",3.12505327186453,3.19661067579417,0.0715574039296407,0.201192435001059,3.5062047266172,0.705421866560338,TRUE
"mu_log_lambda","q50",1.99006818068017,2.07457414187299,0.0845059611928218,0.0245182419695999,3.5062047266172,0.0859659758821553,TRUE
"mu_log_mu_t","q50",-4.13244691061187,-4.05072229196434,0.0817246186475318,0.0466201559611559,3.5062047266172,0.163459811186636,TRUE
"mu_log_mu_a","q50",0.951752965842571,0.976128579353804,0.0243756135112323,0.0270001210826689,3.5062047266172,0.0946679521592905,TRUE
"mu_log_p","q50",7.13712676759279,7.28597506148213,0.148848293889342,0.0576848359451415,3.5062047266172,0.202254844444993,TRUE
"mu_log_alpha_l","q50",-8.75459328727973,-8.74124432886201,0.0133489584177209,0.108890304765878,3.5062047266172,0.381791701252908,TRUE
"mu_u_pi","q50",0.493964405911306,0.0521056829157521,-0.441858722995553,0.13838900074519,3.5062047266172,0.485220168524617,TRUE
