"reserve_id","finite_target_patients","useful_patients","sum_pairwise_acceptance","snapshot","useful_ode_patients"
"reserve_090",12,1,1.04071656000082,"comparator_chain03_retained0750",1
"reserve_091",12,2,1.46683475077986,"comparator_chain03_retained0750",0
"reserve_092",12,1,0.292976644898497,"comparator_chain03_retained0750",0
"reserve_093",12,0,1.43032512283006e-14,"comparator_chain03_retained0750",0
"reserve_094",12,0,1.31673042013364e-06,"comparator_chain03_retained0750",0
"reserve_095",12,0,6.701440979497e-07,"comparator_chain03_retained0750",0
"reserve_096",12,3,1.14418223650668,"comparator_chain03_retained0750",2
"reserve_097",12,2,2.03640827502548,"comparator_chain03_retained0750",0
"reserve_098",12,0,0.111329531822195,"comparator_chain03_retained0750",0
"reserve_099",12,0,0.000192338552984493,"comparator_chain03_retained0750",0
"reserve_100",12,1,0.258412102629105,"comparator_chain03_retained0750",0
"reserve_101",12,0,0.0263970791966227,"comparator_chain03_retained0750",0
"reserve_102",12,0,3.23164536829684e-06,"comparator_chain03_retained0750",0
"reserve_103",12,5,2.82242167287818,"comparator_chain03_retained0750",3
"reserve_104",12,0,0.0259065639308215,"comparator_chain03_retained0750",0
"reserve_105",12,2,1.41905426119551,"comparator_chain03_retained0750",1
"reserve_106",12,0,2.81097753502587e-10,"comparator_chain03_retained0750",0
"reserve_107",12,0,0.00397408478504279,"comparator_chain03_retained0750",0
"reserve_108",12,1,0.177365408580778,"comparator_chain03_retained0750",0
"reserve_109",12,0,0.00332197515171012,"comparator_chain03_retained0750",0
"reserve_110",12,2,0.875771422352577,"comparator_chain03_retained0750",0
"reserve_111",12,0,9.37516541920199e-07,"comparator_chain03_retained0750",0
"reserve_112",12,0,0.0330644061364393,"comparator_chain03_retained0750",0
"reserve_113",12,4,2.88959121818919,"comparator_chain03_retained0750",3
"reserve_114",12,0,0.000454003330698366,"comparator_chain03_retained0750",0
"reserve_115",12,0,0.00015248691149678,"comparator_chain03_retained0750",0
"reserve_116",12,0,0.000213128667148628,"comparator_chain03_retained0750",0
"reserve_117",12,3,1.25485775319305,"comparator_chain03_retained0750",1
"reserve_118",12,4,1.78035531681382,"comparator_chain03_retained0750",3
"reserve_119",12,0,1.90370760254986e-21,"comparator_chain03_retained0750",0
"reserve_120",12,0,0.139444945830824,"comparator_chain03_retained0750",0
"reserve_121",12,0,7.3087272908611e-06,"comparator_chain03_retained0750",0
"reserve_122",12,0,0.0276321148569113,"comparator_chain03_retained0750",0
"reserve_123",12,2,1.42581786008041,"comparator_chain03_retained0750",0
"reserve_124",12,0,2.31640863403732e-09,"comparator_chain03_retained0750",0
"reserve_125",12,2,0.357315833455025,"comparator_chain03_retained0750",1
"reserve_126",12,3,0.960956338383957,"comparator_chain03_retained0750",2
"reserve_127",12,0,0.115286611144993,"comparator_chain03_retained0750",0
"reserve_128",12,0,3.11136983821099e-17,"comparator_chain03_retained0750",0
